Erreur;Ntotal;Nprocessus;Temps(ms)
1.130170677561341E-4;10000000;1;313
1.3068098110611585E-4;20000000;2;314
1.0623478184706319E-4;30000000;3;317
7.882830064682255E-5;40000000;4;314
1.760049627372199E-5;50000000;5;330
4.6617625498158996E-5;60000000;6;340
2.8454688638684975E-6;70000000;7;345
1.1680495540174178E-4;80000000;8;356
3.477774917551441E-5;90000000;9;486
4.368052301442607E-5;100000000;10;506
8.302709741817549E-5;110000000;11;580
3.1294024310042724E-5;120000000;12;583
7.751327275885928E-5;130000000;13;611
5.636926453449467E-5;140000000;14;675
2.944162403974611E-5;150000000;15;690
1.7617309533633406E-5;160000000;16;753
