Erreur;Ntotal;Nprocessus;Temps(ms)
0.002039521706573115;1000;1;3
0.010952198519719262;1000;2;1
0.018332311009189507;1000;3;0
0.0030534364723675406;1000;4;1
0.034884425090746636;1000;5;0
0.04023670804862789;1000;6;1
0.031064706456541146;1000;7;1
0.014771917153924754;1000;8;1
0.023425269188130163;1000;9;1
0.005859240340778607;1000;10;1
0.012225438064454426;1000;11;1
0.0043266760171027045;1000;12;0
0.013239352830248852;1000;13;0
0.020878790098659835;1000;14;2
0.02597174827760049;1000;15;1
0.010952198519719262;1000;16;1
0.0036947331147287855;10000;1;7
0.0031854372968347765;10000;2;3
0.00127557797973196;10000;3;3
0.010692873740778524;10000;4;2
8.88929246317861E-4;10000;5;4
0.0017848737976261103;10000;6;4
0.00941963419604336;10000;7;3
0.0015255490186853722;10000;8;1
0.007641775703407779;10000;9;3
8.936061163114533E-4;10000;10;2
0.003058113342361133;10000;11;1
0.0026761414789406262;10000;12;1
0.0013982250642118699;10000;13;2
0.00394938102367579;10000;14;2
5.069573828972128E-4;10000;15;1
1.2498551947670607E-4;10000;16;2
7.616052918442174E-4;100000;1;23
0.001614675786816852;100000;2;18
3.4611311207528053E-4;100000;3;8
8.88929246317861E-4;100000;4;10
4.6876019655519045E-4;100000;5;8
0.0017594090067313817;100000;6;11
6.516906028117425E-4;100000;7;10
2.0137989216075089E-4;100000;8;10
4.3523988020676037E-4;100000;9;11
5.451545692393766E-4;100000;10;12
8.172117436272672E-4;100000;11;11
0.0017466766112839466;100000;12;12
3.7963342842371056E-4;100000;13;26
4.4797227565405404E-4;100000;14;29
7.234081055021949E-4;100000;15;32
9.954652798902267E-4;100000;16;10
4.0977508931203165E-4;1000000;1;101
3.859996261474281E-4;1000000;2;88
9.188129131362941E-5;1000000;3;122
9.458089376455412E-4;1000000;4;81
4.6325115019089127E-4;1000000;5;77
3.162294452569887E-5;1000000;6;71
1.754990130808101E-4;1000000;7;84
8.273976599851587E-4;1000000;8;87
7.573694850248313E-4;1000000;9;68
7.204455382274393E-4;1000000;10;75
0.001025165877604483;1000000;11;81
4.2928977066839625E-4;1000000;12;70
9.401168221767822E-5;1000000;13;79
2.8219314076878294E-5;1000000;14;132
2.9559961847117647E-4;1000000;15;147
0.001465706760082795;1000000;16;106
3.8176381932790074E-4;10000000;1;867
2.818519775488575E-5;10000000;2;842
2.8346972647434683E-4;10000000;3;658
8.933481222408586E-5;10000000;4;762
1.96414257936353E-4;10000000;5;691
1.2469675524590053E-4;10000000;6;776
2.0787341383901627E-4;10000000;7;697
3.549325812558449E-4;10000000;8;928
1.0487168083052821E-5;10000000;9;704
2.488717271793952E-4;10000000;10;814
4.537018536054564E-4;10000000;11;805
1.61145522547235E-4;10000000;12;818
6.383590500750596E-5;10000000;13;858
2.5332806558602574E-4;10000000;14;774
1.2294833620507125E-4;10000000;15;935
4.091759320232079E-5;10000000;16;836
2.997671926470015E-4;10000000;1;898
3.07316768444293E-5;10000000;2;688
2.671722603016922E-4;10000000;3;679
9.244559757770081E-5;100000000;1;8020
2.869114741186098E-6;100000000;2;7899
4.665990354909307E-5;100000000;3;7440
1.3411464701238753E-4;100000000;4;7434
3.531533920546634E-5;100000000;5;8437
2.922925418158447E-5;100000000;6;10332
2.3190017875065116E-5;100000000;7;7811
1.5283200302251496E-5;100000000;8;7999
4.213990316518861E-5;100000000;9;7627
9.273509651154889E-6;100000000;10;7881
2.877088794557972E-5;100000000;11;7321
2.0579876808388997E-5;100000000;12;7845
5.717278132404137E-5;100000000;13;7842
8.578655475877767E-5;100000000;14;8446
3.402528640078314E-5;100000000;15;11348
1.2634862049324105E-5;100000000;16;10241
