Erreur;Ntotal;Nprocessus;Temps(ms)
1.0993117740169408E-6;10000000;1;964
5.012238040746224E-6;20000000;2;4348
2.138626185338756E-5;30000000;3;7918
1.1189735166068215E-5;40000000;4;12546
2.2485735251743418E-7;50000000;5;17499
9.295465013335847E-7;60000000;6;21170
1.2143863788783024E-4;70000000;7;24589
4.265466741522471E-5;80000000;8;29124
1.2849734793962089E-5;90000000;9;37074
4.4656836599309415E-5;100000000;10;41255
8.166125863374539E-5;110000000;11;41147
1.485806070391984E-4;120000000;12;46665
2.5614070085366214E-5;130000000;13;44727
1.0801731720988503E-4;140000000;14;55690
5.3802940662386415E-5;150000000;15;59059
3.4848117456656396E-5;160000000;16;64518
