Erreur;Ntotal;Nprocessus;Temps(ms)
1.3160971127002872E-5;10000000;1;843
1.8724693321427893E-4;20000000;2;1333
1.0881537725859929E-4;30000000;3;2134
9.907280940805767E-5;40000000;4;3016
1.4621115739054989E-5;50000000;5;3766
4.037875172898934E-5;60000000;6;4747
6.137702543789971E-6;70000000;7;5238
2.7691817431330862E-5;80000000;8;6226
1.2134054495042494E-5;90000000;9;6875
3.7072409777124166E-5;100000000;10;7983
5.677521298670445E-5;110000000;11;8789
2.5400312580458155E-6;120000000;12;9767
3.5672662488709846E-5;130000000;13;10833
1.7086478417457924E-6;140000000;14;11827
3.9406845543191645E-5;150000000;15;13135
2.311839815068496E-5;160000000;16;16641
