Erreur;Ntotal;Nprocessus;Temps(ms)
1.3835453469645634E-4;10000000;1;1034
3.407621598254574E-5;10000000;2;2096
3.0884130973652025E-4;10000000;3;2935
8.360523427282492E-5;10000000;4;2935
4.6748695701041864E-4;10000000;5;3322
1.3666520696633115E-4;10000000;6;3494
1.6926013931164047E-4;10000000;7;3851
9.048072781445114E-5;10000000;8;3839
8.815478031201076E-5;10000000;9;4009
1.5872636741223932E-4;10000000;10;3824
2.160221469252729E-4;10000000;11;4130
3.127508898418919E-5;10000000;12;4131
1.2266357284234394E-6;10000000;13;4347
8.21705544516541E-5;10000000;14;4457
1.695147872205948E-4;10000000;15;4425
9.633762972011859E-5;10000000;16;4023
