Erreur;Ntotal;Nprocessus;Temps(ms)
3.421660694865587E-4;10000000;1;845
8.576974149886625E-5;10000000;2;812
1.09324673076508E-4;10000000;3;760
1.319883369727388E-4;10000000;4;747
1.0244917953488176E-4;10000000;5;696
2.7582694304421727E-5;10000000;6;745
1.5796242368537624E-4;10000000;7;723
7.838495213933131E-5;10000000;8;734
4.056973766081112E-5;10000000;9;781
1.4281087310294552E-4;10000000;10;821
1.3411872787692897E-4;10000000;11;804
4.63026617738537E-6;10000000;12;840
6.361537342040279E-5;10000000;13;771
3.55696524982708E-4;10000000;14;823
1.0903256268406217E-5;10000000;15;929
2.4212355759231684E-4;10000000;16;813
