Erreur;Ntotal;Nprocessus;Temps(ms)
0.002039521706573115;1000;8;3
0.01960555055392467;1000;8;3
5.069573828972128E-4;1000;8;3
0.011966113285513688;1000;8;3
0.035143749869687234;1000;8;2
0.013239352830248852;1000;8;2
0.006873155106573032;1000;8;2
0.003312761251308279;1000;8;2
0.01960555055392467;1000;8;2
0.011966113285513688;1000;8;2
0.005472591607364366;10000;8;5
0.004708647880523353;10000;8;5
0.003440085205781781;10000;8;3
7.66282161837951E-4;10000;8;3
5.116342528909465E-4;10000;8;3
0.0038173801992086955;10000;8;3
0.0026761414789406262;10000;8;3
0.005345267652890864;10000;8;3
0.003180760426841043;10000;8;3
0.008273718605781698;10000;8;2
0.001767464532185083;100000;8;6
0.004140366955386043;100000;8;5
6.724785237128788E-4;100000;8;6
4.050982193184393E-4;100000;8;5
5.70619360133964E-4;100000;8;6
0.0022512955591843633;100000;8;6
0.0012628455842846663;100000;8;6
0.002289492745526527;100000;8;6
0.0020522541020204085;100000;8;6
0.001016253200791363;100000;8;6
1.0079396812674913E-4;1000000;8;29
1.6700242445290246E-4;1000000;8;26
5.031376642630389E-4;1000000;8;25
5.409187624198492E-4;1000000;8;24
5.604334437760725E-4;1000000;8;23
2.3575735986859932E-4;1000000;8;23
2.077460898844684E-4;1000000;8;22
7.285010636811407E-4;1000000;8;22
6.58472888720672E-4;1000000;8;21
6.673855655339331E-4;1000000;8;21
3.1775398654963993E-4;10000000;8;174
3.216635666545876E-5;10000000;8;153
2.0109112792994534E-4;10000000;8;143
9.413900617222607E-5;10000000;8;139
8.029481145655965E-5;10000000;8;138
1.2940439540041059E-5;10000000;8;138
7.402182136539745E-5;10000000;8;138
1.79862143854744E-4;10000000;8;138
1.445592921437748E-4;10000000;8;137
3.430573371679696E-4;10000000;8;137
8.591387871318417E-5;100000000;8;1411
6.331387679422728E-5;100000000;8;1322
7.891106121715144E-5;100000000;8;1325
9.696151709706383E-5;100000000;8;1331
7.325453147675275E-6;100000000;8;1335
7.48962757867556E-5;100000000;8;1339
5.704953823403496E-5;100000000;8;1346
6.959559841748739E-7;100000000;8;1351
1.3417830898966146E-4;100000000;8;1353
2.9237905712554355E-5;100000000;8;1354
4.5576915232676474E-6;1000000000;8;13570
2.2783315924572285E-6;1000000000;8;13528
1.657681167972831E-5;1000000000;8;13445
1.1892563394674804E-5;1000000000;8;13147
1.967741111699074E-5;1000000000;8;12837
1.2095008482357834E-5;1000000000;8;5035
3.459977858134842E-5;1000000000;8;4841
9.78561309395496E-6;1000000000;8;4704
6.137781798265103E-6;1000000000;8;4673
5.577556398593793E-6;1000000000;8;4667
