Erreur;Ntotal;Nprocessus;Temps(ms)
9.999590807803488E-5;10000000;1;321
1.3969143621836067E-4;20000000;2;326
3.985656024836787E-5;30000000;3;329
6.158153630970143E-6;40000000;4;330
5.594181983020367E-5;50000000;5;345
5.950689055542328E-5;60000000;6;345
7.158221514336294E-5;70000000;7;360
8.25070651655211E-5;80000000;8;362
1.3150733536701468E-4;90000000;9;472
4.9906664388084404E-5;100000000;10;520
5.488789508659971E-5;110000000;11;568
6.369797072353024E-5;120000000;12;627
1.0580857310292882E-4;130000000;13;665
6.057778764957703E-5;140000000;14;722
1.7529080735863494E-6;150000000;15;800
5.88327673805791E-5;160000000;16;816
